driverGroup,GP,position,driverName,team,fastestLap,tyre,driverStatus
A1,Spain,1,Mushi,Reserve,1:16.720,S,FINISHED
A1,Spain,2,Suburbanite,CodeMaster Sucks,1:16.882,S,FINISHED
A1,Spain,3,Quick Nick,QGod,1:16.983,S,FINISHED
A1,Spain,4,zbk,DNF,1:17.043,S,FINISHED
A1,Spain,5,bomber-20,ABC,1:17.087,S,FINISHED
A1,Spain,6,mushimu,Pit Lane Killer,1:17.145,S,FINISHED
A1,Spain,7,LHAM66,Reserve,1:17.186,S,FINISHED
A1,Spain,8,Asuka,Reserve,1:17.226,S,FINISHED
A1,Spain,9,Alick,QGod,1:17.352,S,FINISHED
A1,Spain,10,RROY,CodeMaster Sucks,1:17.414,S,FINISHED
A1,Spain,11,Garland,Reserve,1:17.419,S,FINISHED
A1,Spain,12,Livistar,Reserve,1:17.516,S,FINISHED
A1,Spain,13,Wilson Leclerc,A2,1:17.615,S,FINISHED
A1,Spain,14,Kogasa,Pit Lane Killer,1:18.725,S,FINISHED
A1,Spain,15,lingerr,Reserve,1:18.979,S,FINISHED
A1,Spain,16,Head brother,DNF,,,FINISHED
A1,Spain,17,SHZ,ABC,,,QB
A2,Spain,1,Wilson Leclerc,NIO333,1:17.240,S,FINISHED
A2,Spain,2,Go7D3n WEST 999,Na'as,1:17.377,S,FINISHED
A2,Spain,3,Niraschtoe,Reserve,1:17.465,S,FINISHED
A2,Spain,4,tinnycatty809yhb,j r y,1:17.570,S,FINISHED
A2,Spain,5,Ayanami,WOFA C2H6,1:17.634,S,FINISHED
A2,Spain,6,YakumoCC,Low Speed Player,1:17.661,S,FINISHED
A2,Spain,7,HanyueYY,TOP,1:17.930,S,FINISHED
A2,Spain,8,ZghosT,TOP,1:17.932,S,FINISHED
A2,Spain,9,jack,j r y,1:18.021,S,FINISHED
A2,Spain,10,firezai,WOFA C2H6,1:18.223,S,FINISHED
A2,Spain,11,dasu,Max UJS Racing,1:18.257,S,FINISHED
A2,Spain,12,KINGBOB,muamua,1:18.279,S,FINISHED
A2,Spain,13,i4foru,fass,1:18.279,S,FINISHED
A2,Spain,14,Y,Low Speed Player,1:18.296,S,FINISHED
A2,Spain,15,LINGJ,muamua,1:18.437,S,FINISHED
A2,Spain,16,RainBow,Reserve,1:18.776,S,FINISHED
A2,Spain,17,Joji,Max UJS Racing,1:18.993,S,FINISHED
A2,Spain,18,Lugo,Team HII,1:19.319,S,FINISHED
A2,Spain,19,Mikko,Reserve,,,FINISHED
A2,Spain,20,magpie,A3,,,FINISHED
A3,Spain,1,g eight,Reserve,1:25.424,I,FINISHED
A3,Spain,2,188066,Reserve,1:27.185,I,FINISHED
A3,Spain,3,Ta1ko,Reserve,1:27.252,I,FINISHED
A3,Spain,4,yeye,Reserve,1:29.839,I,FINISHED
A3,Spain,5,taka10969,Reserve,1:30.320,I,FINISHED
A3,Spain,6,magpie,Reserve,1:31.813,I,FINISHED
A3,Spain,7,GG Bond,Reserve,,,FINISHED
A3,Spain,8,Perfect,Reserve,,,FINISHED
,,,,,,,
