driverGroup,GP,position,driverName,team,fastestLap,tyre,driverStatus
A1,San Marino,1,Suburbanite,CodeMaster Sucks,1:15.460,S,FINISHED
A1,San Marino,2,SHMJimmy,Pit Lane Killer,1:15.511,S,FINISHED
A1,San Marino,3,wofa,Reserve,1:15.712,S,FINISHED
A1,San Marino,4,CM401ASM,CodeMaster Sucks,1:15.742,S,FINISHED
A1,San Marino,5,zbk,DNF,1:15.770,S,FINISHED
A1,San Marino,6,Ayanami,A2,1:15.799,S,FINISHED
A1,San Marino,7,Head brother,DNF,1:16.019,S,FINISHED
A1,San Marino,8,333,3b,1:16.196,S,FINISHED
A1,San Marino,9,SHZ,Reserve,1:16.209,S,FINISHED
A1,San Marino,10,tinnycatty809yhb,A2,1:16.386,S,FINISHED
A1,San Marino,11,Seb V5,Reserve,1:16.719,S,FINISHED
A1,San Marino,12,Livistar,Reserve,1:17.007,S,FINISHED
A1,San Marino,13,i4foru,A2,1:17.562,S,FINISHED
A2,San Marino,1,Ayanami,WOFA C2H6,1:15.794,S,FINISHED
A2,San Marino,2,Wilson Leclerc,NIO333,1:15.874,S,FINISHED
A2,San Marino,3,Mikko,WOFA C2H6,1:16.004,S,FINISHED
A2,San Marino,4,HanyueYY,TOP,1:16.194,S,FINISHED
A2,San Marino,5,PPJACK,Reserve,1:16.345,S,FINISHED
A2,San Marino,6,YakumoCC,Low Speed Player,1:16.357,S,FINISHED
A2,San Marino,7,Y,Low Speed Player,1:16.461,S,FINISHED
A2,San Marino,8,LandoRicciardo,A3,1:16.552,S,FINISHED
A2,San Marino,9,tinnycatty809yhb,j r y,1:16.563,S,FINISHED
A2,San Marino,10,jack,j r y,1:16.645,S,FINISHED
A2,San Marino,11,hhhzw,Reserve,1:16.743,S,FINISHED
A2,San Marino,12,KINGBOB,muamua,1:16.759,S,FINISHED
A2,San Marino,13,Charles Jiang,TOP,1:16.859,S,FINISHED
A2,San Marino,14,i4foru,Reserve,1:16.942,S,FINISHED
A2,San Marino,15,RainBow,Reserve,1:17.243,S,FINISHED
A2,San Marino,16,dasu,Max UJS Racing,1:17.578,S,FINISHED
A2,San Marino,17,Lugo,Team HII,1:18.112,S,FINISHED
A2,San Marino,18,Charlotte Amor,Na'as,,S,QB
A2,San Marino,19,Go7D3n WEST 999,Na'as,,S,QB
A2,San Marino,20,magpie,A3,,S,FINISHED
A3,San Marino,1,LandoRicciardo,Reserve,1:15.912,S,FINISHED
A3,San Marino,2,sharkbee,Reserve,1:16.614,S,FINISHED
A3,San Marino,3,wen,Reserve,1:16.710,S,FINISHED
A3,San Marino,4,magpie,Reserve,1:16.997,S,FINISHED
A3,San Marino,5,Perfect,Reserve,1:17.331,S,FINISHED
A3,San Marino,6,WANWANJU,Reserve,1:17.332,S,FINISHED
A3,San Marino,7,Ta1ko,Reserve,1:17.663,S,FINISHED
A3,San Marino,8,188066,Reserve,1:17.760,S,FINISHED
A3,San Marino,9,yeye,Reserve,1:18.726,S,FINISHED
A3,San Marino,10,taka10969,Reserve,1:20.695,S,FINISHED
A3,San Marino,11,GG bond,Reserve,,,FINISHED
,,,,,,,
