driverName,team_from,driverGroup_from,team_to,driverGroup_to,driverStatus,description,transferTime,tokenUsed
Suburbanite,Reserve,A1,CodeMaster Sucks,A1,1st driver,driver grouped,2022/9/1,0
RROY,Reserve,A1,CodeMaster Sucks,A1,2ed driver,driver grouped,2022/9/1,0
CM401ASM,Reserve,A1,CodeMaster Sucks,A1,3rd driver,driver grouped,2022/9/1,0
mushimu,Reserve,A1,Pit Lane Killer,A1,1st driver,driver grouped,2022/9/1,0
Kogasa,Reserve,A1,Pit Lane Killer,A1,2ed driver,driver grouped,2022/9/1,0
SHMJimmy,Reserve,A1,Pit Lane Killer,A1,3rd driver,driver grouped,2022/9/1,0
333,Reserve,A1,3b,A1,1st driver,driver grouped,2022/9/1,0
bomber-20,Reserve,A1,3b,A1,2ed driver,driver grouped,2022/9/1,0
KINGBOB,Reserve,A2,muamua,A2,1st driver,driver grouped,2022/9/1,0
LINGJ,Reserve,A2,muamua,A2,2ed driver,driver grouped,2022/9/1,0
Wilson Leclerc,Reserve,A2,NIO333,A2,1st driver,driver grouped,2022/9/1,0
STeven L2i,Reserve,A2,NIO333,A2,2ed driver,driver grouped,2022/9/1,0
M4,Reserve,A2,Team HII,A2,1st driver,driver grouped,2022/9/1,0
Lugo,Reserve,A2,Team HII,A2,2ed driver,driver grouped,2022/9/1,0
jack,Reserve,A2,j r y,A2,1st driver,driver grouped,2022/9/1,0
tinnycatty809yhb,Reserve,A2,j r y,A2,2ed driver,driver grouped,2022/9/1,0
RainBow,Reserve,A2,j r y,A2,3rd driver,driver grouped,2022/9/1,0
YakumoCC,Reserve,A2,Low Speed Player,A2,1st driver,driver grouped,2022/9/1,0
Y,Reserve,A2,Low Speed Player,A2,2ed driver,driver grouped,2022/9/1,0
Ayanami,Reserve,A2,WOFA C2H6,A2,1st driver,driver grouped,2022/9/1,0
firezai,Reserve,A2,WOFA C2H6,A2,2ed driver,driver grouped,2022/9/1,0
Mikko,Reserve,A2,WOFA C2H6,A2,3rd driver,driver grouped,2022/9/1,0
Joji,Reserve,A2,Max UJS Racing,A2,1st driver,driver grouped,2022/9/1,0
dasu,Reserve,A2,Max UJS Racing,A2,2ed driver,driver grouped,2022/9/1,0
ZghosT,Reserve,A2,TOP,A2,1st driver,driver grouped,2022/9/1,0
HanyueYY,Reserve,A2,TOP,A2,2ed driver,driver grouped,2022/9/1,0
Charlotte Amor,Reserve,A2,Na'as,A2,1st driver,driver grouped,2022/9/1,0
Go7D3n WEST 999,Reserve,A2,Na'as,A2,2ed driver,driver grouped,2022/9/1,0
